id,label,parent_label,label_manual,parent_label_manual
153610,Barn,Countryside,NULL,NULL
153620,Barn,Farm,NULL,NULL
153614,Barn,Nature,NULL,NULL
153607,Barn,Outdoors,NULL,NULL
153623,Barn,Rural,NULL,NULL
76126,Barricade,Fence,NULL,NULL
335830,Barrow,Transportation,NULL,NULL
335827,Barrow,Vehicle,NULL,NULL
3097,Bartender,Person,NULL,NULL
3096,Bartender,Worker,NULL,NULL
26501,Baseball,People,NULL,NULL
26493,Baseball,Person,NULL,NULL
26483,Baseball,Sport,NULL,NULL
26497,Baseball,Team,NULL,NULL
26488,Baseball,Team Sport,NULL,NULL
904,Baseball Cap,Cap,NULL,NULL
903,Baseball Cap,Clothing,NULL,NULL
902,Baseball Cap,Hat,NULL,NULL
111595,Baseball Field,Arena,NULL,NULL
111599,Baseball Field,Baseball,NULL,NULL
111589,Baseball Field,Building,NULL,NULL
111600,Baseball Field,People,NULL,NULL
111597,Baseball Field,Person,NULL,NULL
111593,Baseball Field,Sport,NULL,NULL
111587,Baseball Field,Team,NULL,NULL
111591,Baseball Field,Team Sport,NULL,NULL
26509,Baseball Glove,Baseball,NULL,NULL
26521,Baseball Glove,Clothing,NULL,NULL
26515,Baseball Glove,Glove,NULL,NULL
26518,Baseball Glove,People,NULL,NULL
26505,Baseball Glove,Person,NULL,NULL
26524,Baseball Glove,Sport,NULL,NULL
26512,Baseball Glove,Team,NULL,NULL
26527,Baseball Glove,Team Sport,NULL,NULL
70959,Basement,Indoors,NULL,NULL
70958,Basement,Room,NULL,NULL
11596,Basketball,People,NULL,NULL
11592,Basketball,Person,NULL,NULL
741,Basketball,Sport,NULL,NULL
740,Basketball,Team,NULL,NULL
742,Basketball,Team Sport,NULL,NULL
736,Basketball Court,Basketball,NULL,NULL
11608,Basketball Court,People,NULL,NULL
11621,Basketball Court,Person,NULL,NULL
737,Basketball Court,Sport,NULL,NULL
738,Basketball Court,Team,NULL,NULL
739,Basketball Court,Team Sport,NULL,NULL
5330,Bass Guitar,Guitar,NULL,NULL
5331,Bass Guitar,Leisure Activities,NULL,NULL
5329,Bass Guitar,Musical Instrument,NULL,NULL
39080,Bat,Animal,NULL,NULL
39083,Bat,Mammal,NULL,NULL
39085,Bat,Wildlife,NULL,NULL
40848,Bath Towel,Towel,NULL,NULL
53004,Bathing Cap,Cap,NULL,NULL
53001,Bathing Cap,Clothing,NULL,NULL
53003,Bathing Cap,Hat,NULL,NULL
21058,Bathroom,Indoors,NULL,NULL
21056,Bathroom,Room,NULL,NULL
3289,Bathtub,Tub,NULL,NULL
32270,Batting Helmet,Clothing,NULL,NULL
32273,Batting Helmet,Helmet,NULL,NULL
2389,Battleship,Military,NULL,NULL
2387,Battleship,Navy,NULL,NULL
2385,Battleship,Ship,NULL,NULL
2388,Battleship,Transportation,NULL,NULL
2386,Battleship,Vehicle,NULL,NULL
28872,Bay,Coast,NULL,NULL
28881,Bay,Nature,NULL,NULL
28884,Bay,Outdoors,NULL,NULL
28875,Bay,Sea,NULL,NULL
28878,Bay,Shoreline,NULL,NULL
28869,Bay,Water,NULL,NULL
22383,Bazaar,Market,NULL,NULL
22386,Bazaar,Shop,NULL,NULL
14703,Bbq,Food,NULL,NULL
3239,Beach,Coast,NULL,NULL
3243,Beach,Nature,NULL,NULL
3242,Beach,Outdoors,NULL,NULL
3241,Beach,Sea,NULL,NULL
3240,Beach,Shoreline,NULL,NULL
3244,Beach,Water,NULL,NULL
64064,Beach Wagon,Carriage,NULL,NULL
64060,Beach Wagon,Transportation,NULL,NULL
64056,Beach Wagon,Vehicle,NULL,NULL
64068,Beach Wagon,Wagon,NULL,NULL
14243,Beacon,Architecture,NULL,NULL
14247,Beacon,Building,NULL,NULL
312,Bead,Accessories,NULL,NULL
18494,Bead Necklace,Accessories,NULL,NULL
18490,Bead Necklace,Bead,NULL,NULL
18488,Bead Necklace,Jewelry,NULL,NULL
18492,Bead Necklace,Ornament,NULL,NULL
3999,Beagle,Animal,NULL,NULL
4001,Beagle,Canine,NULL,NULL
4000,Beagle,Dog,NULL,NULL
4002,Beagle,Hound,NULL,NULL
4004,Beagle,Mammal,NULL,NULL
4003,Beagle,Pet,NULL,NULL
21364,Beak,Animal,NULL,NULL
21368,Beak,Bird,NULL,NULL
10001,Bean,Food,NULL,NULL
10005,Bean,Plant,NULL,NULL
10010,Bean,Vegetable,NULL,NULL
9987,Bean Sprout,Food,NULL,NULL
9981,Bean Sprout,Plant,NULL,NULL
